Category,Subcategory
Personal Care,health_beauty
Personal Care,perfumery
Personal Care,diapers_and_hygiene
Electronics,computers_accessories
Electronics,telephony
Electronics,computers
Electronics,electronics
Electronics,consoles_games
Electronics,tablets_printing_image
Electronics,audio
Electronics,fixed_telephony
Home,bed_bath_table
Home,furniture_decor
Home,housewares
Home,garden_tools
Home,kitchen_dining_laundry_garden_furniture
Home,home_appliances_2
Home,home_construction
Home,home_appliances
Home,furniture_living_room
Home,home_confort
Home,home_comfort_2
Home,furniture_bedroom
Home,furniture_mattress_and_upholstery
Home,la_cuisine
Home,small_appliances_home_oven_and_coffee
Home,small_appliances
Home,air_conditioning
Fashion,watches_gifts
Fashion,fashion_bags_accessories
Fashion,fashion_male_clothing
Fashion,fashio_female_clothing
Fashion,fashion_sport
Fashion,fashion_childrens_clothes
Fashion,fashion_shoes
Fashion,shoes
Fashion,luggage_accessories
Fashion,fashion_underwear_beach
Sports and Leisure,sports_leisure
Sports and Leisure,cool_stuff
Sports and Leisure,toys
Office,office_furniture
Office,stationery
Office,industry_commerce_and_business
Tools,construction_tools_construction
Tools,construction_tools_lights
Tools,construction_tools_safety
Tools,costruction_tools_garden
Tools,costruction_tools_tools
Food and Beverage,food
Food and Beverage,drinks
Food and Beverage,food_drink
"Books, Music, and Movies",books_general_interest
"Books, Music, and Movies",books_technical
"Books, Music, and Movies",books_imported
"Books, Music, and Movies",dvds_blu_ray
"Books, Music, and Movies",cine_photo
"Books, Music, and Movies",music
"Books, Music, and Movies",cds_dvds_musicals
"Books, Music, and Movies",musical_instruments
Pets,pet_shop
Misc,signaling_and_security
Misc,market_place
Misc,art
Misc,party_supplies
Misc,christmas_supplies
Misc,arts_and_craftmanship
Misc,flowers
Misc,security_and_services
Misc,agro_industry_and_commerce
Auto,auto
Baby,baby
